property_type,latitude,longitude,bathrooms_text,bedrooms,beds,price,number_of_reviews,review_scores_rating,property_type_grouped,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in rental unit,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in rental unit,property_type_grouped_Entire Unit,property_type_grouped_Private Room,property_type_grouped_Shared Room,distance_to_eiffel_tower,distance_to_notre-dame_cathedral,distance_to_louvre_museum,nearest_landmark,eiffel_tower_distance_category,notre_dame_distance_category,louvre_museum_distance_category
Entire rental unit,48.83191,2.3187,1.0,1.0,1.0,113.0,4,5.0,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.436904266568917,3.273026676561373,3.4770666336147062,Notre-Dame Cathedral,4,4,4
Entire rental unit,48.85247,2.35835,1.0,0.0,1.0,95.0,413,4.61,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.717697989613518,0.6210542559892772,1.766861732374758,Notre-Dame Cathedral,4,1,2
Entire rental unit,48.85909,2.35315,1.0,2.0,1.0,145.0,360,4.73,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.291350136524088,0.7177081781934364,1.1498925350511842,Notre-Dame Cathedral,4,1,2
Entire rental unit,48.87417,2.34245,1.0,2.0,2.0,150.0,5,4.8,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.9212821466157766,2.4162553267055253,1.55005580995028,Louvre Museum,4,3,2
Entire rental unit,48.87114,2.32606,1.0,1.0,2.0,150.0,52,4.45,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.708555436196173,2.6664499658045138,1.4443329387189456,Louvre Museum,3,3,2
Entire rental unit,48.88054,2.33135,1.0,1.0,2.0,150.0,215,4.02,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.650365529757171,3.3494424782760186,2.263858893450167,Louvre Museum,4,4,3
Entire rental unit,48.873074,2.350599,1.5,1.0,2.0,150.0,143,4.59,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.415971382604399,2.2327125385464166,1.6816495858093616,Louvre Museum,4,3,2
Entire rental unit,48.86373,2.37093,1.0,1.0,1.0,246.0,51,4.92,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.622462416574602,1.9469305602002933,2.462875326495631,Notre-Dame Cathedral,4,2,3
Entire rental unit,48.887,2.34531,1.0,0.0,4.0,80.0,54,4.84,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8910870629153775,3.795503825987062,2.989210911764114,Louvre Museum,4,4,3
Entire rental unit,48.88725,2.34518,1.0,1.0,1.0,75.0,23,4.9,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.902007099816522,3.8240409689293298,3.0147521170694906,Louvre Museum,4,4,4
Entire rental unit,48.88494,2.33997,1.0,1.0,2.0,150.0,32,4.91,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.446194809461876,3.6250703144831946,2.712029317076236,Louvre Museum,4,4,3
Entire rental unit,48.86441,2.37139,1.0,0.0,1.0,80.0,12,4.92,Entire Unit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.664311193124051,2.0202311493699834,2.5078360866436697,Notre-Dame Cathedral,4,3,3
